smiles,Ki,Kd,IC50
Nc1ccc2c(Nc3cccc(F)c3)ncnc2c1, 2,,
Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1, 0.25,,
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 0.1,,
Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1, 0.35,,
Nc1ccc2c(Nc3cccc(C(F)(F)F)c3)ncnc2c1, 3.3,,
O=[N+]([O-])c1ccc2c(Nc3ccccc3)ncnc2c1, 12000,,
O=[N+]([O-])c1ccc2c(Nc3cccc(F)c3)ncnc2c1, 6100,,
O=[N+]([O-])c1ccc2c(Nc3cccc(Cl)c3)ncnc2c1, 810,,
O=[N+]([O-])c1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 1000,,
O=[N+]([O-])c1ccc2c(Nc3cccc(I)c3)ncnc2c1, 540,,
O=[N+]([O-])c1ccc2c(Nc3cccc(C(F)(F)F)c3)ncnc2c1,>10000,,
COc1cc2ncnc(Nc3ccccc3)c2cc1OC, 29,,
COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC, 3.8,,
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC, 0.31,,
COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC, 0.89,,
COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC, 0.24,,
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 4,,
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 84,,
COC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 12,,
Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 4.7,,
CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 40,,
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 7,,
CCNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 12,,
CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 11,,
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N, 0.12,,
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N, 0.69,,
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1N, 159,,
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N, 3.8,,
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl, 6.5,,
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-], 53,,
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-], 68,,
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-], 2000,,
CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-], 28,,
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1[N+](=O)[O-], 15,,
O=[N+]([O-])c1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl, 25,,
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1, 15,,
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O, 0.17,,
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC, 0.006,,
CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC, 0.17,,
CCCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCC, 105,,
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1OC, 1367,,
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1OC,>10000,,
COc1cc2nc(C)nc(Nc3cccc(Br)c3)c2cc1OC,>10000,,
COc1cc2nc(N)nc(Nc3cccc(Br)c3)c2cc1OC, 463,,
COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC, 152,,
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC, 0.67,,
COc1cc2c(Nc3cccc(Br)c3)ncnc2c(OC)c1OC,>10000,,
COc1cc2ncnc(Nc3ccccc3Br)c2cc1OC, 128,,
COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC, 0.96,,
